City_ID,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
106,Mahebourg,-20.4081,57.7,25.16,83,40,2.57,MU,1970-01-01 00:00:01.682124411
107,Minot,48.2325,-101.2963,1.68,60,0,10.29,US,1970-01-01 00:00:01.682124411
108,Guerrero,17.6667,-100.0,26.33,50,31,1.95,MX,1970-01-01 00:00:01.682124412
109,Pandan,14.0453,124.1694,29.37,70,98,1.69,PH,1970-01-01 00:00:01.682124412
110,Nkayi,-4.1841,13.2884,22.76,97,90,0.37,CG,1970-01-01 00:00:01.682124413
111,Provideniya,64.3833,-173.3,1.22,91,10,1.07,RU,1970-01-01 00:00:01.682124413
112,Thompson,55.7435,-97.8558,3.09,41,20,7.2,CA,1970-01-01 00:00:01.682124414
113,Balatonfured,46.9619,17.8719,11.86,59,92,0.89,HU,1970-01-01 00:00:01.682124414
114,Lensk,60.7253,114.9278,-0.44,56,10,2.15,RU,1970-01-01 00:00:01.682124415
115,Am Timan,11.0297,20.2827,32.14,20,99,0.78,TD,1970-01-01 00:00:01.682124415
116,Barrow,71.2906,-156.7887,-10.99,79,40,9.26,US,1970-01-01 00:00:01.682124416
117,Linguere,15.3953,-15.1193,26.12,57,0,4.12,SN,1970-01-01 00:00:01.682124416
118,Mattru,7.6244,-11.8332,25.81,80,84,1.21,SL,1970-01-01 00:00:01.682124417
119,Vila Franca Do Campo,37.7167,-25.4333,16.23,88,99,5.99,PT,1970-01-01 00:00:01.682124418
120,San Patricio,28.017,-97.5169,26.97,63,62,3.66,US,1970-01-01 00:00:01.682124418
121,Araouane,18.9048,-3.5265,25.86,12,100,4.36,ML,1970-01-01 00:00:01.682124419
122,Richards Bay,-28.783,32.0377,19.05,73,100,1.74,ZA,1970-01-01 00:00:01.682124419
123,Saint-Louis,16.3333,-15.0,22.8,37,42,4.34,SN,1970-01-01 00:00:01.682124420
124,Matata,-37.8833,176.75,21.03,95,100,6.76,NZ,1970-01-01 00:00:01.682124420
125,Winona,43.9666,-91.7668,3.32,87,75,1.54,US,1970-01-01 00:00:01.682124421
126,Cienfuegos,22.1461,-80.4356,24.08,83,100,1.54,CU,1970-01-01 00:00:01.682124422
127,Tosham,28.8833,75.9167,23.77,28,0,2.56,IN,1970-01-01 00:00:01.682124423
128,Baoding,38.8511,115.4903,5.76,88,100,2.56,CN,1970-01-01 00:00:01.682124424
129,Bethel,41.3712,-73.414,13.05,70,0,3.6,US,1970-01-01 00:00:01.682124424
130,Miri,4.4148,114.0089,28.08,89,20,2.57,MY,1970-01-01 00:00:01.682124425
131,Aklavik,68.2191,-135.0107,-4.8,93,100,5.88,CA,1970-01-01 00:00:01.682124426
132,Qasigiannguit,68.8193,-51.1922,-0.86,88,93,2.22,GL,1970-01-01 00:00:01.682124426
133,Fairbanks,64.8378,-147.7164,5.98,47,100,1.54,US,1970-01-01 00:00:01.682124355
134,Cabo San Lucas,22.8909,-109.9124,30.61,32,75,4.12,MX,1970-01-01 00:00:01.682124230
135,Mao,39.8885,4.2658,14.31,100,0,3.09,ES,1970-01-01 00:00:01.682124428
136,Souillac,-20.5167,57.5167,25.21,83,40,2.57,MU,1970-01-01 00:00:01.682124428
137,Constitucion,-35.3333,-72.4167,12.87,93,30,3.57,CL,1970-01-01 00:00:01.682124406
138,Trapani,37.8333,12.6667,12.93,87,0,1.54,IT,1970-01-01 00:00:01.682124430
139,Salym,60.0625,71.4789,1.04,95,99,2.78,RU,1970-01-01 00:00:01.682124430
140,Shirokiy,49.758,129.523,3.88,48,97,6.19,RU,1970-01-01 00:00:01.682124431
141,Umm Lajj,25.0213,37.2685,24.45,68,93,2.95,SA,1970-01-01 00:00:01.682124431
142,Lasa,46.6166,10.7002,8.49,88,100,0.88,IT,1970-01-01 00:00:01.682124432
143,Dalvik,65.9702,-18.5286,-0.04,81,87,1.69,IS,1970-01-01 00:00:01.682124432
144,Obo,5.3998,26.4869,22.91,77,100,2.97,CF,1970-01-01 00:00:01.682124433
145,Taltal,-25.4,-70.4833,18.81,80,100,2.08,CL,1970-01-01 00:00:01.682124374
146,Tuktoyaktuk,69.4541,-133.0374,-11.0,79,100,7.2,CA,1970-01-01 00:00:01.682124434
147,Kikwit,-5.041,18.8162,21.56,94,100,1.17,CD,1970-01-01 00:00:01.682124434
148,Longa,2.8447,24.6776,22.09,98,100,2.08,CD,1970-01-01 00:00:01.682124435
149,Qaanaaq,77.484,-69.3632,-10.15,78,100,2.17,GL,1970-01-01 00:00:01.682124436
150,Honningsvag,70.9821,25.9704,-2.14,54,75,8.23,NO,1970-01-01 00:00:01.682124436
151,Mikhaylovka,50.06,43.2379,5.39,92,100,3.77,RU,1970-01-01 00:00:01.682124437
152,Tarnow,50.0138,20.987,6.51,67,93,1.32,PL,1970-01-01 00:00:01.682124438
153,Tarrega,41.647,1.1396,14.22,74,98,3.59,ES,1970-01-01 00:00:01.682124438
154,Kozlovka,55.8428,48.2492,7.96,74,100,1.1,RU,1970-01-01 00:00:01.682124439
155,Luxor,25.6989,32.6421,22.03,20,0,1.54,EG,1970-01-01 00:00:01.682124244
156,Colares,38.7992,-9.4469,16.08,90,49,7.6,PT,1970-01-01 00:00:01.682124440
157,Dengfeng,34.4553,113.0281,3.46,90,100,2.21,CN,1970-01-01 00:00:01.682124440
158,Nome,64.5011,-165.4064,2.31,74,0,1.54,US,1970-01-01 00:00:01.682124441
159,Lebu,-37.6167,-73.65,12.34,93,33,3.92,CL,1970-01-01 00:00:01.682124442
160,Cobh,51.8572,-8.2992,7.58,93,75,3.6,IE,1970-01-01 00:00:01.682124443
161,Butaritari,3.0707,172.7902,28.28,78,24,4.67,KI,1970-01-01 00:00:01.682124443
162,Olafsvik,64.8945,-23.7142,1.24,72,12,6.83,IS,1970-01-01 00:00:01.682124444
163,Ixtapa,20.7,-105.2,25.57,73,75,6.17,MX,1970-01-01 00:00:01.682124444
164,Pangnirtung,66.1451,-65.7125,-5.0,93,100,2.57,CA,1970-01-01 00:00:01.682124445
165,Casablanca,33.5928,-7.6192,14.01,79,100,1.6,MA,1970-01-01 00:00:01.682124312
166,Chapais,49.7834,-74.8492,0.88,98,100,4.32,CA,1970-01-01 00:00:01.682124446
167,Wichita Falls,33.9137,-98.4934,22.08,14,0,3.09,US,1970-01-01 00:00:01.682124447
168,Kelvington,52.1667,-103.5343,-0.64,79,100,4.68,CA,1970-01-01 00:00:01.682124260
169,Aksu,41.1231,80.2644,10.18,50,68,0.88,CN,1970-01-01 00:00:01.682124448
170,Praia Da Vitoria,38.7333,-27.0667,17.14,88,40,8.26,PT,1970-01-01 00:00:01.682124448
171,Pingzhuang,42.0372,119.2889,11.57,29,0,3.72,CN,1970-01-01 00:00:01.682124449
172,Honolulu,21.3069,-157.8583,29.58,75,20,7.2,US,1970-01-01 00:00:01.682124194
173,Esperance,-33.8667,121.9,19.86,37,39,3.63,AU,1970-01-01 00:00:01.682124450
174,Hokitika,-42.7167,170.9667,16.54,86,58,4.25,NZ,1970-01-01 00:00:01.682124450
